2026-08-14 18:40:48,067 | INFO | stock_pipeline.extract.yahoo_finance | Raw data saved to C:\Users\mahla\Stock_market_data_pipeline\data\raw\SBUX_stock.csv
2026-08-14 18:40:48,209 | INFO | __main__ | Processing TGT...
2026-08-14 18:40:48,209 | INFO | stock_pipeline.extract.yahoo_finance | Downloading data for TGT...
2026-08-14 18:40:49,129 | INFO | stock_pipeline.extract.yahoo_finance | Raw data saved to C:\Users\mahla\Stock_market_data_pipeline\data\raw\TGT_stock.csv
2026-08-14 18:40:49,174 | INFO | __main__ | Processing LOW...
2026-08-14 18:40:49,175 | INFO | stock_pipeline.extract.yahoo_finance | Downloading data for LOW...
2026-08-14 18:40:50,152 | INFO | stock_pipeline.extract.yahoo_finance | Raw data saved to C:\Users\mahla\Stock_market_data_pipeline\data\raw\LOW_stock.csv
2026-08-14 18:40:50,193 | INFO | __main__ | Processing TJX...
2026-08-14 18:40:50,193 | INFO | stock_pipeline.extract.yahoo_finance | Downloading data for TJX...
2026-08-14 18:40:51,177 | INFO | stock_pipeline.extract.yahoo_finance | Raw data saved to C:\Users\mahla\Stock_market_data_pipeline\data\raw\TJX_stock.csv
2026-08-14 18:40:51,227 | INFO | __main__ | Processing BKNG...
2026-08-14 18:40:51,227 | INFO | stock_pipeline.extract.yahoo_finance | Downloading data for BKNG...
2026-08-14 18:40:52,138 | INFO | stock_pipeline.extract.yahoo_finance | Raw data saved to C:\Users\mahla\Stock_market_data_pipeline\data\raw\BKNG_stock.csv
2026-08-14 18:40:52,185 | INFO | __main__ | Processing XOM...
2026-08-14 18:40:52,186 | INFO | stock_pipeline.extract.yahoo_finance | Downloading data for XOM...
2026-08-14 18:40:53,226 | INFO | stock_pipeline.extract.yahoo_finance | Raw data saved to C:\Users\mahla\Stock_market_data_pipeline\data\raw\XOM_stock.csv
2026-08-14 18:40:53,290 | INFO | __main__ | Processing CVX...
2026-08-14 18:40:53,291 | INFO | stock_pipeline.extract.yahoo_finance | Downloading data for CVX...
2026-08-14 18:40:54,093 | INFO | stock_pipeline.extract.yahoo_finance | Raw data saved to C:\Users\mahla\Stock_market_data_pipeline\data\raw\CVX_stock.csv
2026-08-14 18:40:54,142 | INFO | __main__ | Processing COP...
2026-08-14 18:40:54,142 | INFO | stock_pipeline.extract.yahoo_finance | Downloading data for COP...
2026-08-14 18:40:55,497 | INFO | stock_pipeline.extract.yahoo_finance | Raw data saved to C:\Users\mahla\Stock_market_data_pipeline\data\raw\COP_stock.csv
2026-08-14 18:40:55,547 | INFO | __main__ | Processing SLB...
2026-08-14 18:40:55,547 | INFO | stock_pipeline.extract.yahoo_finance | Downloading data for SLB...
2026-08-14 18:40:56,651 | INFO | stock_pipeline.extract.yahoo_finance | Raw data saved to C:\Users\mahla\Stock_market_data_pipeline\data\raw\SLB_stock.csv
2026-08-14 18:40:56,696 | INFO | __main__ | Processing EOG...
2026-08-14 18:40:56,696 | INFO | stock_pipeline.extract.yahoo_finance | Downloading data for EOG...
